iter	RMSE
0	0.5673672192
1	0.4669344207
2	0.4165053834
3	0.3630081555
4	0.3497481872
5	0.3344762504
6	0.327249928
7	0.3206337427
8	0.3122380502
9	0.3058090094
10	0.3014498128
11	0.2962066924
12	0.2911769304
13	0.2852818636
14	0.283102225
15	0.2813318571
16	0.2786388827
17	0.2769381703
18	0.2749701319
19	0.2724801201
20	0.270334027
21	0.2683439068
22	0.2660040028
23	0.2640511924
24	0.2633400723
25	0.2611801173
26	0.2594214496
27	0.2561850175
28	0.2545974391
29	0.2530302946
30	0.2519156407
31	0.2506385409
32	0.249909564
33	0.2493770748
34	0.248698889
35	0.2476069644
36	0.2466900372
37	0.245094758
38	0.2441380333
39	0.2430176109
40	0.2420370705
41	0.2408676709
42	0.2403809795
43	0.2399503359
44	0.2397874337
45	0.2383391326
46	0.2377794144
47	0.2371490349
48	0.2360785255
49	0.2354703957
50	0.2342849719
51	0.2332014377
52	0.2325325555
53	0.2323061016
54	0.2313914154
55	0.2304259533
56	0.2287455611
57	0.2280992507
58	0.2272388921
59	0.2266153556
60	0.2262371056
61	0.2253301088
62	0.2248090363
63	0.2243775692
64	0.2240143457
65	0.2235484693
66	0.2223474707
67	0.2219332063
68	0.2210342294
69	0.2202871649
70	0.2199508321
71	0.2196382179
72	0.2191385236
73	0.21863552
74	0.2181002333
75	0.2175184972
76	0.2170386092
77	0.2161186403
78	0.2156289892
79	0.2147839362
80	0.2144593123
81	0.2140239298
82	0.2137408004
83	0.2131687431
84	0.2126782064
85	0.2122798782
86	0.2119091834
87	0.2113191772
88	0.211033756
89	0.2106475536
90	0.2099441206
91	0.2092659104
92	0.2089415943
93	0.2082704639
94	0.2076792394
95	0.2071816876
96	0.2065135819
97	0.2059612875
98	0.2057487615
99	0.2055941037
100	0.205032133
101	0.2043539385
102	0.2040736198
103	0.2035991953
104	0.2032142308
105	0.2026283941
106	0.2019092194
107	0.2014466653
108	0.2009024306
109	0.2006391645
110	0.2002385415
111	0.2000308101
112	0.1994663132
113	0.1992471105
114	0.1990779369
115	0.1988247348
116	0.1985020914
117	0.198010826
118	0.1976021484
119	0.1973869111
120	0.1971118364
121	0.1968800518
122	0.1968233643
123	0.1966563674
124	0.1964840496
125	0.1961237271
126	0.1958362272
127	0.1956513874
128	0.1953043183
129	0.1949541806
130	0.194702055
131	0.1945378238
132	0.1941523263
133	0.1938043124
134	0.1935391745
135	0.1931485979
136	0.1926443668
137	0.1924671565
138	0.1923003797
139	0.191956022
140	0.1915973268
141	0.1914336585
142	0.1913239975
143	0.1909048921
144	0.1903900189
145	0.1900421106
146	0.1898535611
147	0.1894788112
148	0.189112406
149	0.1886143891
150	0.188016766
151	0.1875486714
152	0.1870623839
153	0.1866538646
154	0.1862947417
155	0.1854801775
156	0.18514495
157	0.1848026755
158	0.1846167688
159	0.1844556014
160	0.1841166276
161	0.1839392714
162	0.1836182469
163	0.1830149235
164	0.1827011165
165	0.1824332122
166	0.1821236235
167	0.1820770162
168	0.1817745975
169	0.1814577402
170	0.1813074636
171	0.1811488317
172	0.1807334401
173	0.1803989005
174	0.180063508
175	0.1795911488
176	0.1790394782
177	0.1787533622
178	0.1784117562
179	0.1780725984
180	0.1778868724
181	0.1776241986
182	0.1775124641
183	0.1772826509
184	0.1772239335
185	0.177204608
186	0.1770572877
187	0.1769403972
188	0.1766906911
189	0.1764923934
190	0.176297774
191	0.1759851986
192	0.1757827834
193	0.1754739776
194	0.1751820952
195	0.1747776679
196	0.1746689312
197	0.1744865757
198	0.1742175299
199	0.173966565
200	0.1736639371
201	0.1734289587
