iter	Passed	Remaining
0	47	47420
1	48	24114
2	49	16329
3	49	12422
4	50	10080
5	51	8516
6	52	7401
7	52	6567
8	53	5936
9	54	5421
10	55	4995
11	56	4643
12	57	4346
13	57	4084
14	58	3855
15	59	3649
16	59	3467
17	60	3305
18	61	3160
19	61	3028
20	62	2909
21	63	2802
22	63	2703
23	64	2611
24	64	2529
25	65	2451
26	66	2381
27	66	2314
28	67	2252
29	67	2194
30	68	2140
31	69	2103
32	70	2062
33	71	2023
34	71	1982
35	72	1945
36	73	1907
37	73	1873
38	74	1839
39	75	1806
40	75	1774
41	76	1744
42	77	1716
43	77	1689
44	78	1663
45	79	1639
46	79	1617
47	80	1594
48	81	1572
49	81	1551
50	82	1531
51	82	1510
52	83	1491
53	84	1476
54	85	1464
55	85	1447
56	86	1434
57	87	1419
58	88	1406
59	88	1394
60	89	1381
61	90	1367
62	90	1353
63	91	1339
64	92	1326
65	92	1313
66	93	1302
67	94	1292
68	95	1281
69	95	1270
70	96	1260
71	97	1251
72	97	1242
73	98	1232
74	99	1221
75	99	1213
76	100	1208
77	101	1201
78	102	1192
79	103	1185
80	103	1178
81	104	1170
82	105	1162
83	105	1154
84	106	1145
85	107	1137
86	107	1129
87	108	1121
88	108	1114
89	109	1107
90	110	1099
91	110	1092
92	111	1085
93	111	1078
94	112	1071
95	113	1065
96	113	1058
97	114	1052
98	114	1046
99	115	1042
100	116	1039
101	117	1035
102	118	1030
103	118	1024
104	119	1019
105	120	1014
106	120	1009
107	121	1003
108	122	998
109	122	993
110	123	988
111	123	983
112	124	977
113	125	973
114	125	968
115	126	963
116	126	958
117	127	953
118	128	949
119	128	944
120	129	940
121	130	935
122	130	931
123	131	927
124	132	925
125	133	922
126	133	918
127	134	915
128	135	911
129	135	908
130	136	904
131	136	900
132	137	896
133	138	893
134	139	891
135	139	888
136	140	885
137	141	882
138	142	879
139	142	877
140	143	875
141	144	872
142	145	870
143	145	867
144	146	865
145	147	865
146	148	863
147	149	861
148	150	859
149	151	856
150	151	853
151	152	850
152	153	847
153	153	844
154	154	841
155	154	838
156	155	835
157	156	832
158	156	829
159	157	826
160	157	823
161	158	820
162	159	817
163	159	814
164	160	811
165	161	809
166	161	806
167	162	803
168	163	803
169	164	801
170	164	799
171	165	796
172	166	794
173	166	792
174	167	790
175	168	788
176	168	785
177	169	783
178	170	780
179	170	778
180	171	775
181	171	772
182	172	770
183	173	768
184	173	765
185	174	763
186	175	761
187	175	758
188	176	756
189	176	754
190	177	752
191	178	750
192	179	749
193	179	747
194	180	746
195	181	745
196	182	744
197	183	742
198	183	740
199	184	738
200	185	735
201	185	733
202	186	731
203	186	729
204	187	727
205	188	725
206	188	722
207	189	720
208	189	718
209	190	716
210	191	714
211	191	712
212	192	710
213	192	708
214	193	706
215	194	705
216	195	704
217	195	703
218	196	701
219	197	700
220	198	698
221	198	696
222	199	694
223	199	692
224	200	690
225	201	689
226	201	687
227	202	685
228	203	683
229	203	681
230	204	679
231	204	678
232	205	676
233	206	674
234	206	672
235	207	671
236	207	669
237	208	667
238	209	665
239	210	665
240	211	664
241	211	662
242	212	661
243	213	660
244	213	658
245	214	656
246	214	655
247	215	653
248	216	652
249	216	650
250	217	648
251	218	647
252	218	645
253	219	643
254	219	642
255	220	640
256	221	639
257	221	637
258	222	636
259	222	634
260	223	632
261	224	631
262	224	629
263	225	628
264	226	627
265	226	626
266	227	624
267	228	623
268	229	623
269	230	622
270	230	621
271	231	620
272	232	618
273	232	617
274	233	615
275	234	614
276	234	612
277	235	611
278	236	609
279	236	608
280	237	606
281	237	605
282	238	603
283	238	602
284	239	601
285	240	599
286	240	598
287	241	597
288	242	596
289	243	595
290	244	594
291	245	594
292	245	593
293	246	592
294	247	590
295	247	589
296	248	588
297	249	586
298	249	585
299	250	583
300	250	582
301	251	581
302	252	579
303	252	578
304	253	577
305	253	575
306	254	574
307	255	573
308	255	571
309	256	570
310	256	568
311	257	567
312	258	567
313	259	566
314	259	565
315	260	563
316	261	562
317	261	561
318	262	560
319	263	559
320	263	557
321	264	556
322	264	555
323	265	553
324	266	552
325	266	551
326	267	550
327	267	548
328	268	547
329	269	546
330	269	545
331	270	544
332	270	542
333	271	541
334	272	540
335	272	539
336	273	538
337	274	537
338	275	536
339	275	535
340	276	534
341	277	533
342	278	532
343	278	531
344	279	530
345	280	529
346	280	528
347	281	527
348	282	526
349	282	525
350	283	523
351	283	522
352	284	521
353	285	520
354	285	519
355	286	518
356	286	516
357	287	515
358	288	515
359	290	515
360	290	514
361	291	513
362	292	512
363	293	512
364	293	510
365	294	509
366	294	508
367	295	507
368	296	506
369	296	505
370	297	504
371	297	503
372	298	501
373	299	500
374	299	499
375	300	498
376	301	497
377	301	496
378	302	495
379	303	494
380	303	493
381	304	492
382	305	491
383	305	490
384	306	489
385	307	488
386	308	487
387	308	487
388	309	486
389	310	485
390	310	484
391	311	483
392	312	482
393	312	481
394	313	480
395	314	479
396	314	478
397	315	477
398	316	476
399	316	475
400	317	474
401	318	473
402	318	472
403	319	471
404	320	470
405	320	469
406	321	468
407	322	467
408	323	466
409	323	465
410	324	465
411	325	464
412	325	463
413	326	462
414	327	461
415	327	460
416	328	459
417	329	458
418	329	457
419	330	456
420	330	455
421	331	453
422	332	453
423	332	452
424	333	451
425	334	450
426	334	449
427	335	448
428	336	447
429	337	447
430	339	447
431	340	447
432	340	446
433	341	445
434	342	445
435	343	444
436	344	443
437	344	442
438	345	441
439	346	440
440	346	439
441	347	438
442	347	437
443	348	436
444	349	435
445	349	434
446	350	433
447	350	432
448	351	431
449	352	430
450	353	430
451	354	429
452	354	428
453	355	427
454	356	426
455	356	425
456	357	424
457	357	423
458	358	422
459	359	421
460	359	420
461	360	419
462	360	418
463	361	417
464	362	416
465	362	415
466	363	414
467	364	414
468	364	413
469	365	412
470	366	411
471	366	410
472	367	409
473	368	408
474	369	408
475	369	407
476	370	406
477	371	405
478	371	404
479	372	403
480	373	402
481	373	401
482	374	400
483	375	399
484	375	398
485	376	397
486	376	396
487	377	395
488	378	395
489	378	394
490	379	393
491	379	392
492	380	391
493	381	390
494	381	389
495	382	388
496	382	387
497	383	386
498	384	386
499	385	385
500	385	384
501	386	383
502	387	382
503	387	381
504	388	380
505	389	379
506	389	379
507	390	378
508	391	377
509	391	376
510	392	375
511	392	374
512	393	373
513	394	372
514	395	372
515	395	371
516	396	370
517	396	369
518	397	368
519	398	367
520	398	366
521	399	365
522	400	364
523	401	364
524	401	363
525	402	362
526	402	361
527	403	360
528	404	359
529	404	359
530	405	358
531	406	357
532	406	356
533	407	355
534	407	354
535	408	353
536	409	352
537	409	351
538	410	351
539	411	350
540	411	349
541	412	348
542	412	347
543	413	346
544	414	345
545	414	344
546	415	343
547	416	343
548	416	342
549	417	341
550	418	340
551	418	339
552	419	339
553	420	338
554	420	337
555	421	336
556	422	335
557	422	334
558	423	333
559	423	333
560	424	332
561	425	331
562	425	330
563	426	329
564	426	328
565	427	327
566	428	326
567	428	326
568	429	325
569	429	324
570	430	323
571	431	322
572	431	321
573	432	321
574	433	320
575	434	319
576	434	318
577	435	317
578	436	317
579	436	316
580	437	315
581	438	314
582	438	313
583	439	312
584	439	312
585	440	311
586	441	310
587	441	309
588	442	308
589	442	307
590	443	306
591	444	306
592	444	305
593	445	304
594	445	303
595	446	302
596	447	301
597	448	301
598	448	300
599	449	299
600	450	298
601	450	298
602	451	297
603	452	296
604	452	295
605	453	294
606	453	293
607	454	293
608	455	292
609	455	291
610	456	290
611	457	289
612	457	288
613	458	288
614	458	287
615	459	286
616	459	285
617	460	284
618	461	283
619	461	283
620	462	282
621	463	281
622	463	280
623	464	279
624	465	279
625	465	278
626	466	277
627	467	276
628	467	275
629	468	275
630	469	274
631	469	273
632	470	272
633	471	271
634	471	271
635	472	270
636	472	269
637	473	268
638	473	267
639	474	266
640	475	266
641	475	265
642	476	264
643	477	263
644	477	262
645	478	262
646	479	261
647	480	260
648	480	259
649	481	259
650	482	258
651	482	257
652	483	256
653	484	256
654	484	255
655	485	254
656	485	253
657	486	252
658	487	252
659	487	251
660	488	250
661	488	249
662	489	248
663	490	248
664	490	247
665	491	246
666	491	245
667	492	244
668	493	243
669	493	243
670	494	242
671	495	241
672	496	241
673	496	240
674	497	239
675	498	238
676	498	237
677	499	237
678	500	236
679	500	235
680	501	234
681	501	233
682	502	233
683	503	232
684	503	231
685	504	230
686	504	229
687	505	229
688	506	228
689	506	227
690	507	226
691	507	226
692	508	225
693	509	224
694	509	223
695	510	222
696	511	222
697	511	221
698	512	220
699	513	219
700	513	219
701	514	218
702	515	217
703	515	216
704	516	216
705	517	215
706	517	214
707	518	213
708	519	213
709	519	212
