datetime,ta_max,ta_min,ta_mean,rh_max,rh_min,rh_mean,rs_mean,wind_speed_10m,et0_pm
2000-01-01,18.3,2.5,10.0,90,44,72,13.45,7.3,2.1
2000-01-02,16.8,2.8,9.5,93,49,75,13.32,10.0,2.03
2000-01-03,15.6,2.7,9.7,97,54,76,11.94,6.9,1.77
2000-01-04,14.1,3.5,9.1,94,57,77,9.64,7.3,1.46
2000-01-05,14.2,1.9,8.3,92,55,75,9.99,6.3,1.5
2000-01-06,16.4,2.2,9.5,94,37,71,13.09,12.6,2.08
2000-01-07,15.5,1.5,7.9,78,32,55,13.75,7.6,2.14
2000-01-08,14.6,1.6,7.7,85,44,67,12.18,5.4,1.75
2000-01-09,14.5,-0.4,7.1,93,37,69,14.08,8.4,2.1
2000-01-10,10.2,-1.0,4.5,96,59,83,8.66,15.6,1.1
2000-01-11,12.5,-1.8,4.8,99,51,81,13.18,10.7,1.72
2000-01-12,13.8,-0.5,5.9,88,39,68,13.81,5.7,1.9
2000-01-13,14.1,-1.7,5.8,91,34,68,14.44,9.4,2.11
2000-01-14,8.0,0.9,4.5,97,56,85,3.38,12.2,0.59
2000-01-15,11.9,-0.8,5.7,97,46,79,13.22,13.0,1.77
2000-01-16,14.6,2.3,7.5,93,48,78,10.93,10.0,1.66
2000-01-17,16.7,2.7,9.0,92,35,66,13.64,8.9,2.15
2000-01-18,14.9,1.3,7.8,86,46,72,12.31,6.0,1.82
2000-01-19,14.8,2.2,7.8,96,49,78,14.18,10.8,2.03
2000-01-20,16.9,1.0,8.6,91,42,71,14.26,8.7,2.15
2000-01-21,17.3,1.3,8.8,91,37,69,13.29,7.2,2.11
2000-01-22,16.8,2.8,9.1,90,27,64,12.73,13.0,2.28
2000-01-23,15.9,2.0,8.5,83,34,63,14.63,9.4,2.25
2000-01-24,16.9,3.1,9.2,86,26,62,11.71,8.7,2.03
2000-01-25,19.4,1.9,9.8,84,19,56,15.02,8.4,2.63
2000-01-26,16.4,1.3,8.9,90,45,69,15.18,10.8,2.33
2000-01-27,20.6,2.5,10.6,88,23,57,14.3,7.4,2.46
2000-01-28,20.2,4.6,12.1,72,26,51,12.93,6.1,2.31
2000-01-29,20.1,5.1,12.4,90,41,67,13.05,8.6,2.35
2000-01-30,23.3,6.0,13.6,92,22,59,15.78,8.5,2.7
2000-01-31,23.1,7.7,14.4,63,22,48,13.42,9.4,3.05
2000-02-01,22.4,6.1,13.7,71,27,49,16.2,8.5,2.98
2000-02-02,23.6,5.7,13.9,88,25,59,16.39,12.6,3.27
2000-02-03,23.8,5.6,14.2,87,24,56,16.75,6.6,3.06
2000-02-04,24.4,6.1,14.3,81,19,53,16.62,6.5,3.07
2000-02-05,23.9,5.9,14.4,78,20,51,16.46,6.2,2.91
2000-02-06,22.2,6.1,14.2,75,23,49,16.62,6.9,2.99
2000-02-07,21.8,4.1,12.8,90,25,56,17.19,12.1,3.26
2000-02-08,23.1,4.2,13.2,88,18,52,17.7,12.1,3.6
2000-02-09,23.1,4.7,13.5,78,21,49,17.5,9.9,3.48
2000-02-10,24.2,5.4,14.3,79,19,49,17.87,8.6,3.32
2000-02-11,24.1,5.8,14.5,77,21,52,17.77,10.2,3.5
2000-02-12,22.4,6.0,14.1,92,32,61,16.84,10.6,3.25
2000-02-13,23.2,4.5,14.0,94,25,57,17.98,10.8,3.37
2000-02-14,23.6,4.5,14.1,85,19,50,18.66,7.4,3.36
2000-02-15,23.6,4.8,14.0,71,18,45,18.79,9.7,3.66
2000-02-16,22.9,4.9,13.7,85,22,51,18.83,9.4,3.47
2000-02-17,22.5,3.6,13.1,84,22,52,19.01,11.9,3.76
2000-02-18,24.6,4.8,14.3,77,19,48,19.25,10.4,3.67
2000-02-19,24.2,5.2,14.7,69,19,44,19.31,7.9,3.52
2000-02-20,23.8,6.1,14.8,71,19,45,18.28,8.3,3.43
2000-02-21,24.8,6.1,15.1,72,19,48,18.74,9.4,3.57
2000-02-22,25.1,6.0,15.1,74,18,48,19.22,12.7,3.92
2000-02-23,24.7,5.9,15.2,85,13,45,20.18,12.9,4.29
2000-02-24,26.5,7.5,16.5,51,11,28,17.94,12.6,4.11
2000-02-25,23.7,12.0,17.1,44,18,30,13.83,10.9,3.75
2000-02-26,25.3,9.0,16.6,37,13,24,19.94,10.6,4.39
2000-02-27,22.7,10.6,16.3,69,21,44,19.39,11.5,3.9
2000-02-28,22.3,8.5,15.7,74,35,54,18.78,10.4,3.45
2000-02-29,21.6,8.1,15.4,91,38,62,18.65,8.1,3.26
2000-03-01,24.3,7.1,15.7,85,23,54,19.98,7.6,3.78
2000-03-02,24.9,6.2,15.6,90,20,53,19.91,8.4,3.68
2000-03-03,26.9,7.4,17.0,73,14,42,21.35,7.7,4.05
2000-03-04,28.6,9.0,18.3,58,10,31,21.54,7.4,4.39
2000-03-05,29.7,9.7,19.8,46,9,26,20.22,9.4,4.61
2000-03-06,30.6,11.4,20.7,42,8,22,20.81,9.8,5.25
2000-03-07,29.6,16.7,22.6,21,13,17,18.28,15.0,6.08
2000-03-08,31.4,14.5,22.3,33,9,19,16.52,13.2,5.4
2000-03-09,31.4,15.3,22.8,39,8,23,17.12,11.5,4.88
2000-03-10,31.3,13.1,22.4,39,8,21,20.6,13.0,5.79
2000-03-11,30.5,13.4,21.5,41,9,26,18.01,16.1,5.35
2000-03-12,27.1,13.8,19.9,53,18,37,18.31,16.9,4.39
2000-03-13,27.7,8.9,19.2,73,14,38,22.2,16.8,5.02
2000-03-14,24.8,9.5,18.2,58,20,36,23.07,13.2,4.89
2000-03-15,24.8,7.6,16.9,73,16,41,23.09,10.6,4.49
2000-03-16,25.9,7.9,17.3,70,15,38,21.84,11.0,4.57
2000-03-17,26.1,9.3,17.8,56,15,34,21.74,12.3,5.02
2000-03-18,23.9,9.6,17.1,61,15,37,23.45,15.3,5.09
2000-03-19,22.6,7.4,15.4,89,19,50,23.83,10.2,4.38
2000-03-20,22.0,6.5,15.2,82,31,52,21.38,10.2,3.98
2000-03-21,18.8,8.3,13.5,99,39,68,15.48,13.6,2.94
2000-03-22,18.7,10.7,13.9,77,33,55,18.06,14.5,3.56
2000-03-23,18.8,10.3,13.7,72,28,52,18.09,9.7,3.27
2000-03-24,20.0,9.7,14.3,74,26,50,22.23,13.7,4.09
2000-03-25,20.6,4.8,13.6,93,24,55,24.06,15.0,4.52
2000-03-26,21.7,6.0,14.1,89,29,57,23.01,15.1,4.19
2000-03-27,25.6,7.2,16.6,88,19,52,20.3,11.2,4.17
2000-03-28,23.6,7.9,16.2,80,19,48,25.79,12.3,4.95
2000-03-29,21.3,6.8,14.6,87,28,55,22.43,9.7,3.98
2000-03-30,22.7,9.5,16.1,81,25,52,20.95,12.0,4.1
2000-03-31,23.7,6.9,15.9,92,26,56,25.74,9.2,4.52
2000-04-01,23.7,8.0,15.7,95,20,56,25.75,15.5,4.95
2000-04-02,20.0,8.5,13.0,90,41,65,17.16,30.0,3.12
2000-04-03,14.6,7.3,10.2,95,46,77,16.87,28.2,2.53
2000-04-04,14.7,5.9,10.0,96,47,74,17.25,20.0,2.65
2000-04-05,17.4,8.5,12.2,88,49,71,20.58,10.5,3.28
2000-04-06,24.5,4.5,15.1,92,34,62,26.58,13.2,4.94
2000-04-07,27.3,10.8,17.4,89,24,50,22.35,23.8,5.17
2000-04-08,19.8,11.4,15.1,98,42,73,18.87,17.9,3.43
2000-04-09,19.6,10.3,15.1,87,43,66,17.22,16.7,3.27
2000-04-10,19.5,10.3,14.3,98,35,68,20.74,14.8,3.72
2000-04-11,19.5,8.9,13.9,97,38,68,23.1,12.9,4.02
2000-04-12,22.6,5.4,14.4,94,27,58,27.35,11.2,4.97
2000-04-13,19.5,6.2,13.1,95,39,65,24.15,14.5,4.11
2000-04-14,21.1,8.4,15.0,87,31,57,20.87,17.7,4.28
2000-04-15,24.6,7.7,16.8,92,22,53,27.29,20.2,5.62
2000-04-16,17.1,10.5,13.2,87,42,65,16.41,26.6,2.76
2000-04-17,20.0,5.3,13.2,96,33,63,27.09,13.5,4.51
2000-04-18,23.0,5.7,15.1,90,28,57,28.34,11.8,5.24
2000-04-19,25.6,5.6,16.6,91,19,51,27.77,12.5,5.53
2000-04-20,27.4,6.4,18.3,90,18,49,28.52,11.1,5.68
2000-04-21,28.4,8.4,19.1,88,25,55,27.9,12.3,5.66
2000-04-22,23.3,11.8,17.4,94,33,63,26.78,16.8,5.05
2000-04-23,23.8,11.4,16.8,89,26,59,26.18,16.8,5.13
2000-04-24,26.9,8.2,17.9,80,24,49,28.09,11.6,5.76
2000-04-25,25.9,11.0,18.1,80,27,53,28.43,11.4,5.59
2000-04-26,20.5,7.7,13.8,94,35,65,21.95,24.2,3.97
2000-04-27,18.4,8.6,12.9,88,28,59,25.67,14.8,4.44
2000-04-28,20.6,8.4,14.0,78,26,53,27.9,12.7,4.87
2000-04-29,22.8,6.6,15.5,83,27,50,26.87,17.1,5.06
2000-04-30,18.5,8.9,14.0,90,45,65,17.68,20.2,3.29
2000-05-01,21.2,9.8,15.1,82,28,56,25.4,9.2,4.56
2000-05-02,23.9,7.8,16.4,95,36,64,27.35,13.5,5.09
2000-05-03,23.9,10.9,17.5,94,34,64,26.18,13.6,5.01
2000-05-04,24.4,11.6,17.8,94,32,63,26.19,16.6,5.11
2000-05-05,23.5,13.2,17.8,82,28,56,25.38,15.0,5.09
2000-05-06,21.4,12.1,16.7,80,30,55,23.02,19.1,4.71
2000-05-07,20.9,12.3,16.4,87,37,61,18.56,12.7,3.79
2000-05-08,20.3,12.9,15.5,85,36,65,16.21,11.6,3.22
2000-05-09,20.1,11.4,15.1,94,40,69,20.62,14.9,3.76
2000-05-10,21.5,8.6,15.8,94,32,60,22.77,9.6,4.11
2000-05-11,23.9,7.8,17.0,95,37,61,28.24,11.6,5.19
2000-05-12,25.9,12.9,18.9,87,35,61,25.32,13.0,4.94
2000-05-13,29.4,10.9,20.3,94,34,60,29.06,14.4,6.11
2000-05-14,31.4,11.8,22.2,93,30,58,28.78,14.2,6.32
2000-05-15,29.4,13.9,21.9,90,33,61,28.54,12.6,5.88
2000-05-16,29.5,15.3,21.8,92,32,63,26.96,10.0,5.47
2000-05-17,29.3,13.6,21.4,96,33,65,27.69,10.1,5.53
2000-05-18,28.3,14.6,21.4,94,33,65,26.68,8.7,5.31
2000-05-19,29.9,14.6,22.3,89,31,61,26.31,13.8,5.44
2000-05-20,24.5,13.8,18.6,89,46,69,20.2,14.2,4.01
2000-05-21,24.0,13.6,18.0,81,32,60,23.0,13.2,4.64
2000-05-22,25.3,12.5,18.8,89,33,61,26.8,11.3,5.08
2000-05-23,21.1,13.9,17.1,90,55,72,18.12,11.8,3.38
2000-05-24,22.5,12.0,17.2,95,34,65,21.71,13.0,4.22
2000-05-25,25.7,11.0,18.9,90,32,58,28.85,14.8,5.77
2000-05-26,28.5,11.3,20.7,94,30,58,29.45,12.7,6.2
2000-05-27,29.6,12.8,21.5,95,30,60,29.1,12.7,6.05
2000-05-28,31.1,13.3,22.8,96,28,59,28.78,12.7,6.27
