date;E3P3;E3P4;E3P5;E3P2;E3P1;E3P6;E3P7;E3P8;E2P4;E2P5;E2P7;E2P6;E2P1;E2P2;E2P3
17/12/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/12/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19/12/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20/12/2024;0;0;0;22.10251597;0;0;0;0;0;0;0;0;0;0;0
21/12/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/12/2024;10.11985087;0;0;0;4.131177013;0;0;0;0;0;0;0;0;0;0
23/12/2024;25.94499662;16.40991447;14.66826516;17.68372754;22.29951237;15.50284648;0;0;0;0;0;0;0;0;0
24/12/2024;18.92012871;19.42418453;19.73268744;0;0;25.83807746;0;0;0;0;0;0;0;0;0
25/12/2024;0;0;0.081422453;0;0;0;22.25614736;32.6012182;0.039049552;0.03697281;6.786666032;6.927204775;0;0;0
26/12/2024;0;0;0;0;0;0;0;0;11.23650851;10.63892611;8.362339388;8.535507283;0;0;0
27/12/2024;0;14.4445449;0;0;11.08368262;0;0;0;16.76267091;15.87119495;14.21862887;14.5130692;0;0;0
28/12/2024;0;0;1.211490048;0;1.799651883;1.507221185;1.668039035;1.476351615;0;0;0;0;19.67517491;15.57;19.635
29/12/2024;0;0;0;0;0;0;0.456515946;0;0.039049552;0.03697281;0;0;0;0;0
30/12/2024;0;0;0;0;0;0;0.888450265;0;0;0;0;0;0;0;0
31/12/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/01/2025;0;0;0;1.494152744;0.105679804;0.225365454;10.38029471;13.357467;0;0;0;0;19.67517491;15.57;19.635
05/01/2025;12.87769626;5.703798882;12.03381758;6.17857993;7.991553478;5.543200658;0;0;4.979468673;4.714649502;2.551905764;2.604750802;0;0;0
06/01/2025;0.416413547;0;0;0;0;0;0;0;0;0;0.774577155;0.790617152;0;0;0
07/01/2025;0;0;0.081490362;0;0;0;0.070233223;0;0;0;0;0;0;0;0
08/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2025;0;0;0;0;0;0;13.84296816;9.433183801;0;0;0;0;0;0;0
10/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/01/2025;0;0;0;0;0.075801413;0;0;0;0;0;0;0;0;0;0
14/01/2025;0;0;0;0;0.075801413;0;0;0;0;0;0;0;0;0;0
15/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/01/2025;0;0;0;0;0;0;0;0;6.696347298;6.34022072;3.978409483;4.060794658;13.11678328;10.38;13.09
17/01/2025;0;0;20.02625647;0;0;10.51035573;5.324848821;12.23122163;0;0;0;0;0;0;0
18/01/2025;12.84728805;6.364654144;0;7.328736828;5.015526832;1.620621636;0;0;0;0;0;0;0;0;0
19/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/01/2025;0;0;0;0;0;0;0;0;11.21685357;10.62031646;0;0;26.23356655;20.76;26.18
26/01/2025;0;0;0;0;0;14.26548966;8.136518831;10.21775923;0.418220699;0.395978796;7.862206743;8.025017857;0;0;0
27/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/01/2025;9.619009834;13.42948875;10.92921572;11.46354603;9.103749711;0;0;0;0;0;0;0;0;0;0
29/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/01/2025;0;0;0.162980724;0;0;0.086126925;0.070233223;0;0;0;0;0;0;0;0
31/01/2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
