                     temp  dwpt   rhum  prcp  snow   wdir  wspd  wpgt    pres  \
time                                                                            
2024-01-10 00:00:00  13.0   0.0   41.0   0.0   NaN  180.0   3.6   NaN  1021.7   
2024-01-10 01:00:00  12.0   0.1   44.0   0.0   NaN  168.0   3.6   NaN  1021.0   
2024-01-10 02:00:00  10.0   0.0   50.0   0.0   NaN  151.0   1.8   NaN  1021.0   
2024-01-10 03:00:00   9.7   0.6   53.0   0.0   NaN   90.0   5.4   NaN  1021.1   
2024-01-10 04:00:00   9.0   0.9   57.0   0.0   NaN  115.0   3.6   NaN  1020.0   
2024-01-10 05:00:00   8.0   0.9   61.0   0.0   NaN   40.0   7.6   NaN  1019.0   
2024-01-10 06:00:00   9.2   0.9   56.0   0.0   NaN  130.0   9.4   NaN  1020.5   
2024-01-10 07:00:00   8.0   0.0   57.0   0.0   NaN   50.0   9.4   NaN  1020.0   
2024-01-10 08:00:00   8.0   0.0   57.0   0.0   NaN  100.0   7.6   NaN  1021.0   
2024-01-10 09:00:00  11.3   1.0   49.0   0.0   NaN   50.0   3.6   NaN  1022.0   
2024-01-10 10:00:00  14.0   1.9   44.0   0.0   NaN  130.0   5.4   NaN  1022.0   
2024-01-10 11:00:00  18.0   1.9   34.0   0.0   NaN  140.0   7.6   NaN  1021.0   
2024-01-10 12:00:00  21.2   2.9   30.0   0.0   NaN  110.0   3.6   NaN  1019.0   
2024-01-10 13:00:00  21.0   3.2   31.0   0.0   NaN  340.0   9.4   NaN  1019.0   
2024-01-10 14:00:00  22.0   3.1   29.0   0.0   NaN  340.0  11.2   NaN  1018.0   
2024-01-10 15:00:00  23.3   4.8   30.0   0.0   NaN  320.0   7.6   NaN  1016.6   
2024-01-10 16:00:00  23.0   5.9   33.0   0.0   NaN  320.0   5.4   NaN  1018.0   
2024-01-10 17:00:00  23.0   5.9   33.0   0.0   NaN  340.0   9.4   NaN  1019.0   
2024-01-10 18:00:00  20.3   6.3   40.0   0.0   NaN   10.0   7.6   NaN  1017.3   
2024-01-10 19:00:00  18.0   7.1   49.0   0.0   NaN   60.0  11.2   NaN  1019.0   
2024-01-10 20:00:00  17.0   5.9   48.0   0.0   NaN   50.0   5.4   NaN  1019.0   
2024-01-10 21:00:00  15.9   5.8   51.0   0.0   NaN  130.0   9.4   NaN  1018.6   
2024-01-10 22:00:00  15.0   4.9   51.0   0.0   NaN  170.0   3.6   NaN  1019.0   
2024-01-10 23:00:00  14.0   4.0   51.0   0.0   NaN  180.0   7.6   NaN  1019.0   
2024-01-11 00:00:00  12.5   4.0   56.0   0.0   NaN  340.0   3.6   NaN  1019.6   
2024-01-11 01:00:00  11.0   3.0   58.0   0.0   NaN  154.0   3.6   NaN  1019.0   
2024-01-11 02:00:00  11.0   2.0   54.0   0.0   NaN  180.0   5.4   NaN  1019.0   
2024-01-11 03:00:00  11.3   2.3   54.0   0.0   NaN  160.0   3.6   NaN  1019.8   
2024-01-11 04:00:00   9.0   2.1   62.0   0.0   NaN  100.0   9.4   NaN  1019.0   
2024-01-11 05:00:00   8.0   2.0   66.0   0.0   NaN   90.0   5.4   NaN  1019.0   
2024-01-11 06:00:00   7.6   1.7   66.0   0.0   NaN  100.0   7.6   NaN  1020.4   
2024-01-11 07:00:00   8.0   2.0   66.0   0.0   NaN   90.0  11.2   NaN  1019.0   
2024-01-11 08:00:00   7.0   1.1   66.0   0.0   NaN   80.0   7.6   NaN  1020.0   
2024-01-11 09:00:00  12.2   2.9   53.0   0.0   NaN  120.0   3.6   NaN  1019.8   
2024-01-11 10:00:00  17.0   4.0   42.0   0.0   NaN   87.0   3.6   NaN  1020.0   
2024-01-11 11:00:00  20.0   4.9   37.0   0.0   NaN   20.0   3.6   NaN  1019.0   
2024-01-11 12:00:00  21.2   4.7   34.0   0.0   NaN   40.0   9.4   NaN  1017.2   
2024-01-11 13:00:00  23.0   5.0   31.0   0.0   NaN   10.0   9.4   NaN  1018.0   
2024-01-11 14:00:00  24.0   3.8   27.0   0.0   NaN   50.0   5.4   NaN  1018.0   
2024-01-11 15:00:00  24.8   4.0   26.0   0.0   NaN   20.0   5.4   NaN  1015.8   
2024-01-11 16:00:00  24.0   2.8   25.0   0.0   NaN   90.0   3.6   NaN  1017.0   
2024-01-11 17:00:00  23.0   1.9   25.0   0.0   NaN   20.0   7.6   NaN  1017.0   
2024-01-11 18:00:00  21.5   1.7   27.0   0.0   NaN  320.0   7.6   NaN  1016.0   
2024-01-11 19:00:00  19.0   1.0   30.0   0.0   NaN  260.0   7.6   NaN  1018.0   
2024-01-11 20:00:00  17.0   1.0   34.0   0.0   NaN  150.0   3.6   NaN  1018.0   
2024-01-11 21:00:00  17.2   2.0   36.0   0.0   NaN  180.0  11.2   NaN  1017.4   
2024-01-11 22:00:00  15.0   1.1   39.0   0.0   NaN  178.0   1.8   NaN  1019.0   
